Model: account.account, Name: Account
Model: account.analytic.account, Name: Analytic Account
Model: res.partner.bank, Name: Bank Accounts
Model: stock.picking.batch, Name: Batch Transfer
Model: mrp.bom, Name: Bill of Material
Model: calendar.event, Name: Calendar Event
Model: res.company, Name: Companies
Model: res.partner, Name: Contact
Model: discuss.channel, Name: Discussion Channel
Model: mail.thread.cc, Name: Email CC management
Model: mail.thread, Name: Email Thread
Model: iap.account, Name: IAP Account
Model: account.journal, Name: Journal
Model: account.move, Name: Journal Entry
Model: crm.lead, Name: Lead/Opportunity
Model: stock.lot, Name: Lot/Serial
Model: loyalty.card, Name: Loyalty Coupon
Model: mail.blacklist, Name: Mail Blacklist
Model: mail.thread.blacklist, Name: Mail Blacklist mixin
Model: mailing.contact, Name: Mailing Contact
Model: mail.thread.main.attachment, Name: Mail Main Attachment management
Model: mrp.production, Name: Manufacturing Order
Model: mailing.mailing, Name: Mass Mailing
Model: fleet.vehicle.model, Name: Model of a vehicle
Model: account.payment, Name: Payments
Model: phone.blacklist, Name: Phone Blacklist
Model: mail.thread.phone, Name: Phone Blacklist Mixin
Model: account.reconcile.model, Name: Preset to create journal entries during a invoices and payments matching
Model: product.pricelist, Name: Pricelist
Model: product.template, Name: Product
Model: product.category, Name: Product Category
Model: product.product, Name: Product Variant
Model: purchase.order, Name: Purchase Order
Model: purchase.requisition, Name: Purchase Requisition
Model: rating.mixin, Name: Rating Mixin
Model: sale.order, Name: Sales Order
Model: crm.team, Name: Sales Team
Model: crm.team.member, Name: Sales Team Member
Model: stock.scrap, Name: Scrap
Model: fleet.vehicle.log.services, Name: Services for vehicles
Model: stock.landed.cost, Name: Stock Landed Cost
Model: account.tax, Name: Tax
Model: stock.picking, Name: Transfer
Model: mrp.unbuild, Name: Unbuild Order
Model: fleet.vehicle, Name: Vehicle
Model: fleet.vehicle.log.contract, Name: Vehicle Contract
Model: mrp.workcenter, Name: Work Center
Model: mrp.routing.workcenter, Name: Work Center Usage
Model: auth_totp.wizard, Name: 2-Factor Setup Wizard
Model: res.groups, Name: Access Groups
Model: account.cash.rounding, Name: Account Cash Rounding
Model: account.chart.template, Name: Account Chart Template
Model: account.root, Name: Account codes first 2 digits
Model: account.group, Name: Account Group
Model: account.report, Name: Accounting Report
Model: account.report.column, Name: Accounting Report Column
Model: account.report.expression, Name: Accounting Report Expression
Model: account.report.external.value, Name: Accounting Report External Value
Model: account.report.line, Name: Accounting Report Line
Model: account.journal.group, Name: Account Journal Group
Model: account.lock_exception, Name: Account Lock Exception
Model: account.merge.wizard, Name: Account merge wizard
Model: account.merge.wizard.line, Name: Account merge wizard line
Model: mrp.account.wip.accounting.line, Name: Account move line to be created when posting WIP account move
Model: account.move.reversal, Name: Account Move Reversal
Model: account.move.send, Name: Account Move Send
Model: account.move.send.batch.wizard, Name: Account Move Send Batch Wizard
Model: account.move.send.wizard, Name: Account Move Send Wizard
Model: report.account.report_invoice, Name: Account report without payment lines
Model: report.account.report_invoice_with_payments, Name: Account report with payment lines
Model: account.fiscal.position.account, Name: Accounts Mapping of Fiscal Position
Model: account.account.tag, Name: Account Tag
Model: account.accrued.orders.wizard, Name: Accrued Orders Wizard
Model: ir.actions.actions, Name: Actions
Model: ir.actions.act_url, Name: Action URL
Model: ir.actions.act_window, Name: Action Window
Model: ir.actions.act_window_close, Name: Action Window Close
Model: ir.actions.act_window.view, Name: Action Window View
Model: mail.activity, Name: Activity
Model: mail.activity.mixin, Name: Activity Mixin
Model: mail.activity.plan, Name: Activity Plan
Model: mail.activity.plan.template, Name: Activity plan template
Model: mail.activity.schedule, Name: Activity schedule plan Wizard
Model: mail.activity.type, Name: Activity Type
Model: mailing.contact.to.list, Name: Add Contacts to Mailing List
Model: format.address.mixin, Name: Address Format
Model: mrp.workcenter.tag, Name: Add tag for the workcenter
Model: website.route, Name: All Website Route
Model: account.analytic.distribution.model, Name: Analytic Distribution Model
Model: account.analytic.line, Name: Analytic Line
Model: analytic.mixin, Name: Analytic Mixin
Model: analytic.plan.fields.mixin, Name: Analytic Plan Fields
Model: account.analytic.plan, Name: Analytic Plans
Model: account.analytic.applicability, Name: Analytic Plan's Applicabilities
Model: account.edi.xml.ubl_a_nz, Name: A-NZ BIS Billing 3.0
